PRCP       085096 18721201 20180131 missing_value=99999.9 WILSONS PROMONTORY LIGHTHOUSE             
19490501 19490531    92.6
19490601 19490630    54.1
19490701 19490731    93.3
19490801 19490831    69.6
19490901 19490930    37.3
19491001 19491031   204.4
19491101 19491130   109.9
19491201 19491231    16.1
19500101 19500131    35.0
19500201 19500228    45.5
19500301 19500331   111.8
19500401 19500430    29.0
19500501 19500531    73.0
19500601 19500630    56.4
19500701 19500731   114.1
19500801 19500831    82.6
19500901 19500930   105.7
19501001 19501031   130.8
19501101 19501130    69.4
19501201 19501231    37.8
19510101 19510131    12.1
19510201 19510228   113.1
19510301 19510331     6.6
19510401 19510430   184.4
19510501 19510531   179.7
19510601 19510630    81.1
19510701 19510731   110.3
19510801 19510831   284.3
19510901 19510930    37.4
19511001 19511031    71.4
19511101 19511130    83.3
19511201 19511231    85.2
19520101 19520131    42.5
19520201 19520229    30.7
19520301 19520331    63.6
19520401 19520430    96.3
19520501 19520531   170.5
19520601 19520630   238.0
19520701 19520731   177.6
19520801 19520831    80.5
19520901 19520930   142.0
19521001 19521031   153.5
19521101 19521130   122.7
19521201 19521231    43.8
19530101 19530131    62.6
19530201 19530228    39.0
19530301 19530331    17.9
19530401 19530430   119.7
19530501 19530531    56.9
19530601 19530630   124.0
19530701 19530731   153.6
19530801 19530831   132.2
19530901 19530930   123.5
19531001 19531031   127.4
19531101 19531130   139.1
19531201 19531231    51.4
19540101 19540131    10.7
19540201 19540228    53.2
19540301 19540331    39.7
19540401 19540430    51.5
19540501 19540531    69.9
19540601 19540630   142.5
19540701 19540731    79.8
19540801 19540831   100.5
19540901 19540930    71.6
19541001 19541031    87.9
19541101 19541130   111.0
19541201 19541231    60.0
19550101 19550131    32.5
19550201 19550228    38.1
19550301 19550331    51.6
19550401 19550430    57.7
19550501 19550531   159.5
19550601 19550630   122.1
19550701 19550731    79.5
19550801 19550831   216.2
19550901 19550930    74.4
19551001 19551031   111.9
19551101 19551130    84.0
19551201 19551231   120.1
19560101 19560131    85.6
19560201 19560229    29.0
19560301 19560331    61.4
19560401 19560430   206.1
19560501 19560531    74.0
19560601 19560630   149.0
19560701 19560731   108.9
19560801 19560831   155.3
19560901 19560930   120.6
19561001 19561031    74.0
19561101 19561130   121.6
19561201 19561231    68.4
19570101 19570131    27.3
19570201 19570228    32.5
19570301 19570331    52.3
19570401 19570430   132.2
19570501 19570531   100.5
19570601 19570630    68.5
19570701 19570731    49.7
19570801 19570831    76.1
19570901 19570930   123.9
19571001 19571031   102.3
19571101 19571130   130.3
19571201 19571231    83.9
19580101 19580131    29.9
19580201 19580228    36.5
19580301 19580331    55.0
19580401 19580430    11.4
19580501 19580531   269.6
19580601 19580630    99.4
19580701 19580731   132.4
19580801 19580831   177.2
19580901 19580930    76.5
19581001 19581031   113.2
19581101 19581130    79.9
19581201 19581231    46.3
19590101 19590131    17.8
19590201 19590228   106.1
19590301 19590331   107.7
19590401 19590430    71.2
19590501 19590531    29.8
19590601 19590630    60.3
19590701 19590731    50.0
19590801 19590831   140.2
19590901 19590930    86.9
19591001 19591031    56.0
19591101 19591130    33.3
19591201 19591231    77.5
19600101 19600131    34.8
19600201 19600229    40.1
19600301 19600331    19.3
19600401 19600430   115.4
19600501 19600531   171.8
19600601 19600630   108.9
19600701 19600731   141.1
19600801 19600831    63.4
19600901 19600930    83.0
19601001 19601031    53.1
19601101 19601130    81.9
19601201 19601231     4.7
19610101 19610131    13.1
19610201 19610228    70.9
19610301 19610331    48.8
19610401 19610430    98.6
19610501 19610531    56.1
19610601 19610630   127.2
19610701 19610731   137.4
19610801 19610831    62.2
19610901 19610930    39.7
19611001 19611031    60.1
19611101 19611130    49.4
19611201 19611231    48.0
19620101 19620131    81.9
19620201 19620228    74.1
19620301 19620331    31.0
19620401 19620430    11.8
19620501 19620531   283.4
19620601 19620630   237.5
19620701 19620731    95.6
19620801 19620831   101.0
19620901 19620930   124.0
19621001 19621031   159.8
19621101 19621130    47.5
19621201 19621231    40.8
19630101 19630131   126.0
19630201 19630228    40.7
19630301 19630331    58.0
19630401 19630430    25.3
19630501 19630531   169.5
19630601 19630630   108.7
19630701 19630731   106.0
19630801 19630831   139.0
19630901 19630930   151.2
19631001 19631031    90.0
19631101 19631130    40.6
19631201 19631231    43.0
19640101 19640131    40.7
19640201 19640229    67.6
19640301 19640331    54.3
19640401 19640430   116.4
19640501 19640531   143.7
19640601 19640630    79.6
19640701 19640731   172.1
19640801 19640831   172.1
19640901 19640930   142.1
19641001 19641031    89.2
19641101 19641130    54.9
19641201 19641231   134.8
19650101 19650131    26.6
19650201 19650228     2.4
19650301 19650331    66.6
19650401 19650430   195.8
19650501 19650531   206.3
19650601 19650630    66.0
19650701 19650731    98.1
19650801 19650831   118.2
19650901 19650930   107.0
19651001 19651031    75.6
19651101 19651130   112.3
19651201 19651231    35.2
19660101 19660131    31.0
19660201 19660228    56.7
19660301 19660331    77.7
19660401 19660430    97.9
19660501 19660531    73.9
19660601 19660630   120.1
19660701 19660731    92.8
19660801 19660831   119.9
19660901 19660930    79.3
19661001 19661031    75.8
19661101 19661130    54.2
19661201 19661231   108.9
19670101 19670131    36.9
19670201 19670228    16.3
19670301 19670331    34.3
19670401 19670430    36.4
