PRCP       009520 18970101 20171231 missing_value=99999.9 CAPE RICHE                                
19800901 19800930    23.0
19801001 19801031    96.8
19801101 19801130    23.2
19801201 19801231    38.7
19810101 19810131     7.8
19810201 19810228    21.4
19810301 19810331     1.0
19810401 19810430    34.5
19810501 19810531    89.9
19810601 19810630   105.9
19810701 19810731    83.4
19810801 19810831    48.2
19810901 19810930    25.4
19811001 19811031    32.8
19811101 19811130    41.6
19811201 19811231     9.8
19820101 19820131   240.9
19820201 19820228    25.4
19820301 19820331    39.6
19820401 19820430    14.0
19820501 19820531    47.0
19820601 19820630    37.8
19820701 19820731    54.6
19820801 19820831    64.8
19820901 19820930    28.4
19821001 19821031    17.6
19821101 19821130    17.2
19821201 19821231    31.4
19830101 19830131    11.2
19830201 19830228    32.0
19830301 19830331    10.2
19830401 19830430    39.8
19830501 19830531    43.8
19830601 19830630   141.6
19830701 19830731    71.0
19830801 19830831    26.6
19830901 19830930    63.0
19831001 19831031    75.8
19831101 19831130    55.2
19831201 19831231    77.0
19840101 19840131     0.0
19840201 19840229    19.8
19840301 19840331    35.6
19840401 19840430    25.6
19840501 19840531    43.0
19840601 19840630    61.3
19840701 19840731   133.0
19840801 19840831    81.8
19840901 19840930    80.6
19841001 19841031    31.2
19841101 19841130    33.4
19841201 19841231     7.2
19850101 19850131    67.6
19850201 19850228     8.6
19850301 19850331   135.4
19850401 19850430    39.4
19850501 19850531    26.0
19850601 19850630    50.2
19850701 19850731    92.6
19850801 19850831    85.8
19850901 19850930    84.8
19851001 19851031    59.0
19851101 19851130    52.2
19851201 19851231    12.8
19860101 19860131     0.0
19860201 19860228    65.6
19860301 19860331    18.6
19860401 19860430     6.4
19860501 19860531    76.2
19860601 19860630    72.0
19860701 19860731    98.8
19860801 19860831    70.8
19860901 19860930    65.8
19861001 19861031    43.8
19861101 19861130    23.0
19861201 19861231     5.4
19870101 19870131     5.6
19870201 19870228     0.0
19870301 19870331    33.0
19870401 19870430    34.0
19870501 19870531    72.0
19870601 19870630    34.0
19870701 19870731    46.6
19870801 19870831    50.8
19870901 19870930    57.0
19871001 19871031    41.4
19871101 19871130    77.6
19871201 19871231    20.8
19880101 19880131    13.8
19880201 19880229     1.1
19880301 19880331    27.0
19880401 19880430    20.4
19880501 19880531   184.4
19880601 19880630   112.6
19880701 19880731   103.2
19880801 19880831    38.4
19880901 19880930    41.2
19881001 19881031    15.8
19881101 19881130    14.6
19881201 19881231     7.2
19890101 19890131    36.8
19890201 19890228    20.8
19890301 19890331    12.0
19890401 19890430    75.4
19890501 19890531    47.8
19890601 19890630   140.4
19890701 19890731    89.4
19890801 19890831    51.4
19890901 19890930    33.2
19891001 19891031    60.4
19891101 19891130    18.0
19891201 19891231     7.0
19900101 19900131    94.4
19900201 19900228    22.0
19900301 19900331    18.4
19900401 19900430    28.4
19900501 19900531    87.0
19900601 19900630    82.8
19900701 19900731    90.0
19900801 19900831    26.6
19900901 19900930    39.2
19901001 19901031    90.0
19901101 19901130    35.8
19901201 19901231    14.4
19910101 19910131     7.2
19910201 19910228    29.4
