PRCP       042023 18850101 20171231 missing_value=99999.9 MILES POST OFFICE                         
19710501 19710531    56.6
19710601 19710630     7.9
19710701 19710731    19.3
19710801 19710831    74.7
19710901 19710930    51.8
19711001 19711031    20.6
19711101 19711130    82.1
19711201 19711231   174.0
19720101 19720131   150.3
19720201 19720229   105.2
19720301 19720331    26.4
19720401 19720430    64.1
19720501 19720531    34.8
19720601 19720630    15.9
19720701 19720731     0.0
19720801 19720831    16.2
19720901 19720930    10.9
19721001 19721031    71.4
19721101 19721130   175.4
19721201 19721231    59.6
19730101 19730131   111.2
19730201 19730228    44.6
19730301 19730331    18.5
19730401 19730430     1.0
19730501 19730531    19.3
19730601 19730630    19.6
19730701 19730731   156.4
19730801 19730831    52.7
19730901 19730930   115.3
19731001 19731031    21.4
19731101 19731130   100.3
19731201 19731231   114.1
19740101 19740131   221.4
19740201 19740228     7.0
19740301 19740331     1.2
19740401 19740430    73.8
19740501 19740531    41.2
19740601 19740630    28.8
19740701 19740731     2.0
19740801 19740831    25.6
19740901 19740930    39.2
19741001 19741031    42.8
19741101 19741130   105.6
19741201 19741231    39.6
19750101 19750131    64.1
19750201 19750228    73.0
19750301 19750331    92.2
19750401 19750430    16.4
19750501 19750531     0.2
19750601 19750630    20.2
19750701 19750731    33.2
19750801 19750831    54.4
19750901 19750930    34.6
19751001 19751031    38.8
19751101 19751130    49.8
19751201 19751231   163.0
19760101 19760131    93.2
19760201 19760229    68.6
19760301 19760331    79.0
19760401 19760430    14.2
19760501 19760531     6.4
19760601 19760630     9.0
19760701 19760731    46.0
19760801 19760831     2.0
19760901 19760930    62.8
19761001 19761031    70.2
19761101 19761130   152.8
19761201 19761231    57.0
19770101 19770131    66.0
19770201 19770228    53.6
19770301 19770331    46.6
19770401 19770430    48.2
19770501 19770531   162.8
19770601 19770630     7.2
19770701 19770731     5.4
19770801 19770831     5.4
19770901 19770930     1.6
19771001 19771031    31.6
19771101 19771130    65.0
19771201 19771231    24.4
19780101 19780131    93.2
19780201 19780228    53.8
19780301 19780331    21.0
19780401 19780430    64.8
19780501 19780531    29.2
19780601 19780630    71.2
19780701 19780731    75.4
19780801 19780831    67.8
19780901 19780930    60.8
19781001 19781031    28.9
19781101 19781130    40.6
19781201 19781231    88.0
19790101 19790131    43.0
19790201 19790228    15.2
19790301 19790331   136.6
19790401 19790430     4.8
19790501 19790531    15.2
19790601 19790630    39.4
19790701 19790731     6.6
19790801 19790831    13.4
19790901 19790930    21.4
19791001 19791031    54.0
19791101 19791130   102.9
19791201 19791231    83.0
