PRCP       063005 19080701 20180131 missing_value=99999.9 BATHURST AGRICULTURAL STATION             
19950601 19950630    34.2
19950701 19950731    45.4
19950801 19950831     4.0
19950901 19950930    60.8
19951001 19951031    20.0
19951101 19951130    55.4
19951201 19951231    92.2
19960101 19960131    98.8
19960201 19960229    39.0
19960301 19960331    20.2
19960401 19960430     2.6
19960501 19960531    42.6
19960601 19960630    57.6
19960701 19960731   111.2
19960801 19960831    44.6
19960901 19960930    63.2
19961001 19961031    64.4
19961101 19961130    74.2
19961201 19961231    93.8
19970101 19970131    43.6
19970201 19970228    97.2
19970301 19970331     6.2
19970401 19970430     2.6
19970501 19970531    32.0
19970601 19970630    31.4
19970701 19970731    31.4
19970801 19970831    24.8
19970901 19970930    57.2
19971001 19971031    40.0
19971101 19971130    24.8
19971201 19971231    53.2
19980101 19980131   117.0
19980201 19980228    51.6
19980301 19980331     3.6
19980401 19980430    71.0
19980501 19980531    80.2
19980601 19980630    89.6
19980701 19980731    92.6
19980801 19980831   122.0
19980901 19980930    69.6
19981001 19981031   100.2
19981101 19981130    59.2
19981201 19981231    72.4
19990101 19990131    56.0
19990201 19990228     4.2
19990301 19990331    94.0
19990401 19990430    37.8
19990501 19990531    10.6
19990601 19990630    44.4
19990701 19990731    40.2
19990801 19990831    63.8
19990901 19990930    46.3
19991001 19991031   215.8
19991101 19991130    56.6
19991201 19991231    78.2
20000101 20000131    61.8
20000201 20000229    10.2
20000301 20000331   128.2
20000401 20000430    66.8
20000501 20000531    51.4
20000601 20000630    39.4
20000701 20000731    32.6
20000801 20000831    75.2
20000901 20000930    45.0
20001001 20001031    99.0
20001101 20001130   130.6
20001201 20001231    22.6
20010101 20010131    41.0
20010201 20010228    29.8
20010301 20010331    54.4
20010401 20010430    68.8
20010501 20010531    24.8
20010601 20010630    23.2
20010701 20010731    53.6
20010801 20010831    31.2
20010901 20010930    61.0
20011001 20011031    75.8
20011101 20011130    43.8
20011201 20011231    33.0
20020101 20020131    71.4
20020201 20020228   128.0
20020301 20020331    50.6
20020401 20020430    25.6
20020501 20020531    29.1
20020601 20020630    26.0
20020701 20020731    10.3
20020801 20020831     9.9
20020901 20020930    40.0
20021001 20021031     2.8
20021101 20021130    20.2
20021201 20021231    44.0
20030101 20030131    20.6
20030201 20030228   136.2
