PRCP       007007 18910101 20161130 missing_value=99999.9 BOOLARDY                                  
19800501 19800531    74.4
19800601 19800630   115.9
19800701 19800731    77.2
19800801 19800831     9.0
19800901 19800930     4.2
19801001 19801031    11.4
19801101 19801130     0.0
19801201 19801231     0.0
19810101 19810131     6.6
19810201 19810228    18.0
19810301 19810331     3.4
19810401 19810430     0.0
19810501 19810531    49.2
19810601 19810630    45.6
19810701 19810731    19.9
19810801 19810831    27.2
19810901 19810930     0.0
19811001 19811031     0.0
19811101 19811130     0.0
19811201 19811231    18.4
19820101 19820131    35.8
19820201 19820228     8.2
19820301 19820331     8.6
19820401 19820430    48.8
19820501 19820531    24.2
19820601 19820630    26.2
19820701 19820731     0.0
19820801 19820831     1.4
19820901 19820930    12.6
19821001 19821031     0.0
19821101 19821130    15.6
19821201 19821231     0.0
19830101 19830131     0.0
19830201 19830228     0.0
19830301 19830331    26.2
19830401 19830430     0.0
19830501 19830531     4.0
19830601 19830630    50.4
19830701 19830731    16.4
19830801 19830831     8.6
19830901 19830930     8.6
19831001 19831031     9.4
19831101 19831130    27.2
19831201 19831231    52.4
19840101 19840131    22.2
19840201 19840229    24.6
19840301 19840331    81.0
19840401 19840430     5.4
19840501 19840531    63.6
19840601 19840630     5.8
19840701 19840731    16.4
19840801 19840831    20.4
19840901 19840930    41.8
19841001 19841031    43.2
19841101 19841130     0.0
19841201 19841231     0.0
19850101 19850131     0.0
19850201 19850228    16.4
19850301 19850331     0.0
19850401 19850430     1.8
19850501 19850531     2.4
19850601 19850630    22.8
19850701 19850731    62.0
19850801 19850831    25.0
19850901 19850930     0.0
19851001 19851031     0.0
19851101 19851130     0.0
19851201 19851231     0.0
19860101 19860131    11.8
