PRCP       098000 19091101 20180131 missing_value=99999.9 CITY OF MELBOURNE BAY                     
19920901 19920930   127.8
19921001 19921031   104.2
19921101 19921130    90.0
19921201 19921231    64.8
19930101 19930131    33.0
19930201 19930228    87.2
19930301 19930331    21.8
19930401 19930430    26.6
19930501 19930531    65.2
19930601 19930630   101.8
19930701 19930731   123.0
19930801 19930831    92.0
19930901 19930930   104.4
19931001 19931031    82.8
19931101 19931130    51.6
19931201 19931231   109.6
19940101 19940131    56.0
19940201 19940228    28.8
19940301 19940331     7.6
19940401 19940430    72.6
19940501 19940531   172.4
19940601 19940630    85.2
19940701 19940731   124.2
19940801 19940831    98.2
19940901 19940930    91.4
19941001 19941031   105.2
19941101 19941130    74.6
19941201 19941231    34.8
19950101 19950131    25.2
19950201 19950228    26.4
19950301 19950331    75.4
19950401 19950430   130.8
19950501 19950531    72.8
19950601 19950630   109.2
19950701 19950731   159.4
19950801 19950831    95.0
19950901 19950930    76.0
19951001 19951031    58.4
19951101 19951130    44.8
19951201 19951231    27.8
19960101 19960131    64.4
19960201 19960229    90.6
19960301 19960331    40.2
19960401 19960430    73.2
19960501 19960531    28.8
19960601 19960630   123.0
19960701 19960731   170.4
19960801 19960831   205.4
19960901 19960930   180.0
19961001 19961031    66.2
19961101 19961130   106.6
19961201 19961231    41.6
19970101 19970131   103.6
19970201 19970228    23.6
19970301 19970331    67.0
19970401 19970430    38.8
19970501 19970531   126.2
19970601 19970630    38.6
19970701 19970731    84.0
19970801 19970831   123.8
19970901 19970930    93.4
19971001 19971031    60.2
19971101 19971130    87.6
19971201 19971231    34.8
19980101 19980131    21.4
19980201 19980228    38.6
19980301 19980331    32.2
19980401 19980430    74.2
19980501 19980531    81.0
19980601 19980630   101.8
19980701 19980731   133.6
19980801 19980831    63.6
19980901 19980930   141.4
19981001 19981031   122.0
19981101 19981130 99999.9
19981201 19981231    53.8
19990101 19990131 99999.9
19990201 19990228    80.0
19990301 19990331    56.6
19990401 19990430    29.0
19990501 19990531   162.4
19990601 19990630    83.6
19990701 19990731    90.0
19990801 19990831    86.6
19990901 19990930    57.6
19991001 19991031    64.2
19991101 19991130    90.8
19991201 19991231    72.0
20000101 20000131    53.2
20000201 20000229    27.6
20000301 20000331    21.8
20000401 20000430    53.6
20000501 20000531   172.6
20000601 20000630   111.2
20000701 20000731   199.0
20000801 20000831   164.2
20000901 20000930   111.4
20001001 20001031   152.2
20001101 20001130    62.0
20001201 20001231    49.4
20010101 20010131    40.0
20010201 20010228    14.6
20010301 20010331    99.0
20010401 20010430    29.4
20010501 20010531    58.0
20010601 20010630   124.0
20010701 20010731    97.2
20010801 20010831   261.4
20010901 20010930    64.6
20011001 20011031   125.6
20011101 20011130    92.6
20011201 20011231    85.0
20020101 20020131    54.4
20020201 20020228    44.4
20020301 20020331    29.0
20020401 20020430    32.8
20020501 20020531    76.0
20020601 20020630   166.0
20020701 20020731   169.4
20020801 20020831   108.0
20020901 20020930   144.6
20021001 20021031   100.0
20021101 20021130    38.8
20021201 20021231    39.8
20030101 20030131    35.2
20030201 20030228    12.6
20030301 20030331    27.2
20030401 20030430    42.8
20030501 20030531    51.0
20030601 20030630   170.2
20030701 20030731   119.8
20030801 20030831   165.6
20030901 20030930   156.2
20031001 20031031    77.8
20031101 20031130    17.2
20031201 20031231    56.0
20040101 20040131    55.6
20040201 20040229    12.8
20040301 20040331    30.4
20040401 20040430    45.4
20040501 20040531   100.0
20040601 20040630   194.0
20040701 20040731   140.4
