PRCP       039037 18810101 20171130 missing_value=99999.9 FAIRYMEAD SUGAR MILL                      
19670101 19670131   305.9
19670201 19670228    39.8
19670301 19670331   155.2
19670401 19670430    13.8
19670501 19670531   126.2
19670601 19670630   432.1
19670701 19670731    53.4
19670801 19670831    53.4
19670901 19670930     0.0
19671001 19671031    86.8
19671101 19671130    33.0
19671201 19671231   119.8
19680101 19680131   560.6
19680201 19680229   194.2
19680301 19680331   111.0
19680401 19680430    53.2
19680501 19680531    55.1
19680601 19680630     0.0
19680701 19680731    24.4
19680801 19680831    33.8
19680901 19680930     2.0
19681001 19681031     2.5
19681101 19681130    53.7
19681201 19681231    80.2
19690101 19690131    12.5
19690201 19690228    65.3
19690301 19690331    78.0
19690401 19690430    16.4
19690501 19690531   127.6
19690601 19690630     7.0
19690701 19690731    38.1
19690801 19690831   117.0
19690901 19690930     4.3
19691001 19691031    98.5
19691101 19691130   133.1
19691201 19691231   135.0
19700101 19700131   283.8
19700201 19700228   247.9
19700301 19700331    38.5
19700401 19700430    37.8
19700501 19700531     7.1
19700601 19700630    21.7
19700701 19700731     4.6
19700801 19700831     8.0
19700901 19700930    45.5
19701001 19701031    29.0
19701101 19701130   187.2
19701201 19701231   419.7
19710101 19710131   415.1
19710201 19710228   544.6
19710301 19710331    69.0
19710401 19710430    41.9
19710501 19710531    23.8
19710601 19710630    49.3
19710701 19710731    18.1
19710801 19710831    59.8
19710901 19710930    39.1
19711001 19711031   130.5
19711101 19711130    71.1
19711201 19711231   176.6
19720101 19720131   166.7
19720201 19720229   341.2
19720301 19720331    67.5
19720401 19720430   212.1
19720501 19720531    60.0
19720601 19720630    17.0
19720701 19720731    24.1
19720801 19720831     4.3
19720901 19720930     7.5
19721001 19721031    76.5
19721101 19721130   244.8
19721201 19721231     6.4
19730101 19730131   344.4
19730201 19730228   152.9
19730301 19730331    93.2
19730401 19730430    32.2
19730501 19730531    15.5
19730601 19730630    61.5
19730701 19730731   359.4
19730801 19730831    26.2
19730901 19730930    58.2
19731001 19731031    37.0
19731101 19731130   155.1
19731201 19731231   351.0
19740101 19740131   618.4
19740201 19740228    38.8
19740301 19740331    55.2
19740401 19740430    42.2
19740501 19740531    28.8
19740601 19740630     6.0
19740701 19740731     5.0
19740801 19740831    57.0
19740901 19740930   101.2
19741001 19741031   118.6
19741101 19741130   253.0
19741201 19741231    18.4
19750101 19750131    63.6
19750201 19750228   290.0
19750301 19750331    32.8
19750401 19750430    65.4
19750501 19750531    22.6
19750601 19750630    86.0
19750701 19750731    41.8
